Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 2, nFeatures = 7000

feature |          frame
        |                   0                   1
--------+-----------------------------------------
      0 | (998.0,847.0)= 3152 (991.6,845.8)=    0 
      1 | (735.0,1004.0)= 2909 ( -1.0, -1.0)=   -4 
      2 | (779.0,836.0)= 2885 (771.1,831.1)=    0 
      3 | (682.0,125.0)= 2869 (678.0,123.5)=    0 
      4 | (323.0,655.0)= 2834 (318.9,645.6)=    0 
      5 | (605.0,795.0)= 2808 ( -1.0, -1.0)=   -5 
      6 | (887.0,807.0)= 2804 ( -1.0, -1.0)=   -5 
      7 | (610.0,798.0)= 2747 ( -1.0, -1.0)=   -3 
      8 | (976.0,293.0)= 2701 ( -1.0, -1.0)=   -5 
      9 | (261.0,376.0)= 2682 ( -1.0, -1.0)=   -3 
     10 | (872.0,714.0)= 2681 ( -1.0, -1.0)=   -5 
     11 | (953.0,920.0)= 2669 (947.9,915.7)=    0 
     12 | (430.0,106.0)= 2592 (424.0,103.5)=    0 
     13 | (742.0,604.0)= 2513 (742.6,595.6)=    0 
     14 | (547.0, 86.0)= 2499 (547.2, 87.5)=    0 
     15 | (317.0,360.0)= 2473 ( -1.0, -1.0)=   -5 
     16 | (295.0,1007.0)= 2454 ( -1.0, -1.0)=   -5 
     17 | (769.0,487.0)= 2449 (761.4,482.5)=    0 
     18 | (951.0,813.0)= 2448 (949.7,812.3)=    0 
     19 | (556.0,127.0)= 2434 (548.0, 88.7)=    0 
     20 | ( 44.0,840.0)= 2409 ( 41.3,838.1)=    0 
     21 | (522.0, 80.0)= 2405 ( -1.0, -1.0)=   -3 
     22 | (582.0,109.0)= 2393 (581.1,105.5)=    0 
     23 | (928.0,974.0)= 2339 ( -1.0, -1.0)=   -5 
     24 | ( 60.0,792.0)= 2324 ( 61.5,789.6)=    0 
     25 | (566.0, 37.0)= 2305 ( -1.0, -1.0)=   -5 
     26 | (927.0,979.0)= 2251 ( -1.0, -1.0)=   -5 
     27 | (273.0,221.0)= 2239 ( -1.0, -1.0)=   -5 
     28 | (563.0, 42.0)= 2231 ( -1.0, -1.0)=   -5 
     29 | ( 59.0,784.0)= 2219 ( 57.1,779.6)=    0 
     30 | (101.0,448.0)= 2206 ( 97.7,458.5)=    0 
     31 | (923.0,303.0)= 2201 ( -1.0, -1.0)=   -5 
     32 | ( 81.0,831.0)= 2189 ( -1.0, -1.0)=   -5 
     33 | (380.0,135.0)= 2188 ( -1.0, -1.0)=   -5 
     34 | (810.0,810.0)= 2185 ( -1.0, -1.0)=   -5 
     35 | (177.0,210.0)= 2179 ( -1.0, -1.0)=   -3 
